date,city,cid,industry,platform,number,amount
202302,新竹市,O,批發業,使用載具,114881,109539173
202211,花蓮縣,U,食品及飼品製造業,使用載具,5603,2330696
202407,苗栗縣,K,不動產開發業,無載具,48,79010000
202302,桃園市,H,未分類其他服務業,使用載具,5715,11835339
202307,臺北市,A,用水供應業,使用載具,732607,298969550
202307,彰化縣,N,租賃業,使用載具,852,355171
202307,臺南市,D,出版業,使用載具,720,882439
202211,南投縣,M,人力仲介及供應業,無載具,1469,2916330
202307,新竹縣,J,汽車及其零件製造業,無載具,363,1677698
202211,臺北市,A,租賃業,無載具,73649,6311518519
202307,高雄市,E,醫療保健業,無載具,93681,21638907
202211,彰化縣,N,農、牧業,使用載具,1149,812509
202302,臺南市,D,水上運輸業,使用載具,1,2600
202211,宜蘭縣,G,建築物及綠化服務業,使用載具,12,14584
202211,南投縣,M,農、牧業,使用載具,577,348075
202302,金門縣,W,租賃業,使用載具,69,148097
202407,金門縣,W,批發業,無載具,59958,31678155
202407,臺北市,A,人力仲介及供應業,使用載具,58593,31960184
202211,宜蘭縣,G,紡織業,使用載具,17,4250
202211,連江縣,Z,航空運輸業,使用載具,52,5797
202307,花蓮縣,U,食品及飼品製造業,使用載具,10230,4713798
202211,金門縣,W,住宿業,使用載具,32,196046
202302,臺南市,D,塑膠製品製造業,使用載具,127,149217
202307,臺南市,D,不動產經營及相關服務業,使用載具,20487,4926819
202307,臺中市,B,紙漿、紙及紙製品製造業,無載具,1431,34455391
202302,雲林縣,P,其他化學製品製造業,無載具,439,812150
202302,臺北市,A,紙漿、紙及紙製品製造業,使用載具,1634,3368347
202307,屏東縣,T,運輸輔助業,使用載具,61650,4705689
202302,臺北市,A,不動產開發業,使用載具,486444,835386648
202211,臺東縣,V,企業總管理機構及管理顧問業,使用載具,47,46988
202307,金門縣,W,租賃業,無載具,1448,4072851
202407,金門縣,W,餐飲業,使用載具,109188,26821728
202307,高雄市,E,電腦程式設計、諮詢及相關服務業,無載具,3042,11021779
202407,新竹市,O,用水供應業,使用載具,98280,40055156
202302,臺中市,B,皮革、毛皮及其製品製造業,無載具,276,614959
202211,花蓮縣,U,陸上運輸業,使用載具,5031,1370600
202211,基隆市,C,個人及家庭用品維修業,使用載具,493,841942
202407,彰化縣,N,企業總管理機構及管理顧問業,使用載具,1042,629558
202302,臺中市,B,教育業,無載具,18673,175258856
202211,嘉義縣,Q,航空運輸業,無載具,511,145929
202302,宜蘭縣,G,出版業,使用載具,812,385110
202302,南投縣,M,其他製造業,無載具,29,62130
202407,宜蘭縣,G,出版業,使用載具,1292,694822
202302,彰化縣,N,電力設備及配備製造業,無載具,6,531064
202407,花蓮縣,U,未分類其他服務業,無載具,3092,3175093
202311,臺北市,A,汽車及其零件製造業,無載具,122,52241207
202311,基隆市,C,紡織業,使用載具,19,11056
202301,桃園市,H,出版業,使用載具,22822,17489183
202301,新竹市,O,資訊服務業,使用載具,1061,2043241
202301,宜蘭縣,G,飲料製造業,使用載具,9267,7133958
202311,臺中市,B,石油及煤製品製造業,無載具,106009,504598231
202301,新北市,F,保全及偵探業,使用載具,141,1418586
202311,彰化縣,N,租賃業,使用載具,996,365307
202311,屏東縣,T,研究發展服務業,無載具,6,84910
202301,高雄市,E,倉儲業,使用載具,1267,430323
202301,苗栗縣,K,運動、娛樂及休閒服務業,無載具,45434,44134735
202311,臺中市,B,廢棄物清除、處理及資源回收處理業,無載具,791,9279639
202311,雲林縣,P,食品及飼品製造業,使用載具,34411,24770505
202311,新北市,F,成衣及服飾品製造業,使用載具,2129,5716729
202311,高雄市,E,創作及藝術表演業,無載具,17894,8657419
202301,桃園市,H,陸上運輸業,無載具,61355,34265758
202301,臺南市,D,印刷及資料儲存媒體複製業,無載具,2115,1586097
202311,臺北市,A,廢棄物清除、處理及資源回收處理業,使用載具,261,395266
202301,基隆市,C,其他社會工作服務業,使用載具,69,60540
202301,臺中市,B,人力仲介及供應業,使用載具,6856,9679929
202311,基隆市,C,未分類其他服務業,無載具,97,5045170
202311,宜蘭縣,G,建築、工程服務及技術檢測、分析服務業,無載具,37,220649
202301,澎湖縣,X,電力及燃氣供應業,無載具,55,10103
202311,苗栗縣,K,印刷及資料儲存媒體複製業,無載具,128,196503
202301,澎湖縣,X,教育業,使用載具,73,173656
202311,南投縣,M,其他社會工作服務業,無載具,33,31096
202311,新竹市,O,藥品及醫用化學製品製造業,使用載具,70,1276475
202301,嘉義市,I,個人及家庭用品維修業,無載具,8586,145207600
202301,新竹市,O,電子零組件製造業,無載具,15968,12201798321
202301,新竹市,O,宗教、職業及類似組織,無載具,12,164805
202301,臺東縣,V,租賃業,使用載具,629,2138362
202301,金門縣,W,航空運輸業,無載具,10503,1973347
202311,苗栗縣,K,基本金屬製造業,無載具,51,14508374
